character,base,reason,face_confidence,head_confidence,derived_box07,derived_box08,accepted
avg_npc_047,avg_npc_047.png,no_avatar_unreported,0.9891,0.883,"[416, 11, 585, 180]","[416, 10, 585, 180]",True
avg_npc_174,avg_npc_174.png,no_avatar_unreported,0.5242,0.8902,"[382, 18, 548, 184]","[384, 19, 548, 183]",False
avg_npc_399_1,avg_npc_399_1$1.png,no_avatar_unreported,0.3187,0.9155,"[429, -10, 579, 140]","[428, -11, 579, 140]",False
avg_npc_1497_1,avg_npc_1497_1$1.png,no_avatar_unreported,0.9856,0.9265,"[312, -23, 585, 250]","[312, -22, 585, 251]",True
avg_npc_2324_1,avg_npc_2324_1$2.png,no_avatar_unreported,0.98,0.8935,"[613, 38, 831, 255]","[613, 37, 831, 255]",True
avg_npc_361_1,avg_npc_361_1$1.png,no_avatar_unreported,0.9989,0.8952,"[454, 26, 651, 224]","[455, 26, 651, 223]",True
avg_npc_410_1,avg_npc_410_1$1.png,no_avatar_unreported,0.6067,0.8916,"[422, -17, 580, 141]","[423, -17, 581, 141]",False
avg_npc_970_1,avg_npc_970_1$1.png,no_avatar_unreported,0.9985,0.9171,"[369, -5, 569, 195]","[369, -5, 570, 195]",True
avg_npc_485_1,avg_npc_485_1$1.png,no_avatar_unreported,0.9958,0.8998,"[433, -14, 603, 156]","[434, -14, 603, 155]",True
avg_npc_105,avg_npc_105.png,no_avatar_unreported,,0.7552,,,False
avg_npc_122,avg_npc_122_1.png,no_avatar_unreported,0.9994,0.8865,"[478, 40, 679, 241]","[477, 40, 679, 241]",True
avg_npc_1004_1,avg_npc_1004_1$1.png,no_avatar_unreported,0.9992,0.9083,"[24, -55, 366, 287]","[25, -53, 366, 288]",True
avg_npc_1211_1,avg_npc_1211_1$1.png,no_avatar_unreported,0.9265,0.9008,"[444, -7, 607, 156]","[444, -7, 607, 156]",True
avg_npc_2259_1,avg_npc_2259_1$1.png,no_avatar_unreported,0.8552,0.893,"[514, 43, 678, 207]","[513, 43, 677, 207]",True
avg_npc_2169_1,avg_npc_2169_1$1.png,no_avatar_unreported,0.9919,0.8999,"[493, 0, 698, 205]","[494, -1, 699, 204]",True
avg_npc_450_1,avg_npc_450_1$1.png,no_avatar_unreported,0.9565,0.9048,"[396, -22, 563, 145]","[396, -22, 563, 145]",True
avg_npc_034,avg_npc_034.png,no_avatar_unreported,,0.4929,,,False
avg_npc_423_1,avg_npc_423_1$1.png,no_avatar_unreported,0.9944,0.9108,"[430, -18, 605, 158]","[430, -18, 605, 157]",True
