character,base,iou07,iou08
char_194_rosali_1,char_194_rosali_1.png,0.9116,0.9168
avg_171_bldsk_1,avg_171_bldsk_1$1.png,0.9711,0.9774
avg_1022_flwr2_1,avg_1022_flwr2_1$1.png,0.9708,0.97
char_337_utage_story_1,char_337_utage_story_1.png,0.7813,0.7799
avg_394_hadiya_1,avg_394_hadiya_1$2.png,0.8961,0.9045
avg_346_aosta_1,avg_346_aosta_1$1.png,0.8862,0.8814
avg_293_thorns_1,avg_293_thorns_1$2.png,0.903,0.9089
avg_197_poca_1,avg_197_poca_1$2.png,0.8567,0.854
char_336_scene_1,char_336_Scene_1.png,0.897,0.8996
avg_141_nights_1,avg_141_nights_1$1.png,0.8166,0.8299
char_230_savage_1,char_230_savage_1.png,0.7376,0.727
char_456_ash_1,char_456_ash_1_1.png,0.9055,0.9051
avg_476_blkngt_1,avg_476_blkngt_1$2.png,0.9855,0.9788
avg_126_shotst_1,avg_126_shotst_1.png,0.9089,0.9088
char_130_doberm_ex,char_130_doberm_ex.png,0.911,0.9197
avg_4173_nowell_1,avg_4173_nowell_1$2.png,0.8417,0.8385
avg_1028_texas2_1,avg_1028_texas2_1$2.png,0.9031,0.9015
avg_1027_greyy2_1,avg_1027_greyy2_1$2.png,0.9261,0.9269
avg_133_mm_1,avg_133_mm_1$1.png,0.8906,0.8975
avg_290_vigna_1,avg_290_vigna_1$1.png,0.7898,0.7898
avg_325_bison_1,avg_325_bison_1$1.png,0.8484,0.8458
avg_427_vigil_1,avg_427_vigil_1$1.png,0.9157,0.9181
char_141_nights_1,char_141_nights_1.png,0.8414,0.8551
avg_1022_flwr2_1,avg_1022_flwr2_1$2.png,0.969,0.969
avg_493_firwhl_1,avg_493_firwhl_1$1.png,0.8731,0.8779
avg_271_arene_1,avg_271_arene_1$1.png,0.8872,0.8897
char_290_vigna,char_290_vigna.png,0.8599,0.8601
char_199_yak_1,char_199_yak_1.png,0.8571,0.8639
char_260_durnar_1,char_260_durnar_1.png,0.9226,0.9252
char_400_weedy_1,char_400_weedy_1.png,0.8656,0.857
avg_4172_xingzh_1,avg_4172_xingzh_1$1.png,0.9776,0.9823
avg_291_aglina_1,avg_291_aglina_1$1.png,0.8765,0.8797
avg_4191_tippi_1,avg_4191_tippi_1$1.png,0.8514,0.8499
char_124_kroos_1,char_124_kroos_1.png,0.8493,0.8532
avg_4006_melnte_1,avg_4006_melnte_1$1.png,0.8761,0.8699
avg_1013_spchen_1,avg_1013_spchen_1.png,0.9251,0.923
avg_212_ansel_1,avg_212_ansel_1$1.png,0.8238,0.824
char_254_shamare_1,char_254_Shamare_1.png,0.9215,0.9196
char_383_snsant_1,char_383_snsant_1.png,0.9337,0.9333
avg_4072_ironmn_1,avg_4072_ironmn_1$1.png,0.8404,0.8397
char_333_sidero_1,char_333_sidero_1.png,0.945,0.9495
avg_202_demkni_1,avg_202_demkni_1$1.png,0.971,0.9663
avg_289_gyuki_1,avg_289_gyuki_1$2.png,0.8666,0.8531
avg_4066_highmo_1,avg_4066_highmo_1$1.png,0.9371,0.9358
char_405_absin_ed_1,char_405_absin_ed_1.png,0.9569,0.9613
char_373_leonhardt_1,char_373_Leonhardt_1.png,0.984,0.9945
avg_4133_logos_1,avg_4133_logos_1$1.png,0.9025,0.9106
avg_135_halo_1,avg_135_halo_1$1.png,0.9235,0.9253
avg_4109_baslin_1,avg_4109_baslin_1$2.png,0.9212,0.9234
avg_4078_bdhkgt_1,avg_4078_bdhkgt_1$3.png,0.8928,0.8917
char_144_red_7,char_144_red_1.png,0.7081,0.7089
