character,category,base_file,no_box_reason,face_detected,face_conf,head_detected,head_conf,image_size,match_status,match_threshold,match_box,diff_total,diff_no_box
avg_1042_phatm2_1,avg,avg_1042_phatm2_1$1.png,face置信度不足(0.649<=0.8),True,0.6489,True,0.844,"[1536, 1536]",ok,0.7068,"[496, 10, 774, 288]",12,12
avg_286_cast3_1,avg,avg_286_cast3_1$1.png,face未检出; head未检出,False,,False,,"[1024, 1024]",ok,0.6056,"[625, 137, 765, 277]",0,0
avg_4000_jnight_1,avg,avg_4000_jnight_1.png,face未检出; head未检出,False,,False,,"[1024, 1024]",ok,0.3604,"[527, 286, 792, 551]",7,7
avg_4093_frston_1,avg,avg_4093_frston_1$1.png,face未检出; head未检出,False,,False,,"[1024, 1024]",ok,0.4866,"[883, 103, 1018, 238]",14,14
avg_4093_frston_1,avg,avg_4093_frston_1$2.png,face未检出; head未检出,False,,False,,"[1024, 1024]",ok,0.4866,"[883, 103, 1018, 238]",14,14
avg_4166_varkis_1,avg,avg_4166_varkis_1$1.png,face未检出; head置信度不足(0.685<=0.7),False,,True,0.6845,"[1280, 1280]",ok,0.5941,"[540, 152, 709, 321]",32,32
avg_4166_varkis_1,avg,avg_4166_varkis_1$2.png,face未检出; head置信度不足(0.671<=0.7),False,,True,0.6713,"[1280, 1280]",ok,0.5941,"[540, 152, 709, 321]",32,32
avg_4188_confes_1,avg,avg_4188_confes_1$1.png,face未检出; head未检出,False,,False,,"[1024, 1024]",ok,0.5446,"[164, 295, 339, 470]",2,2
avg_482_pallas_1,avg,avg_482_pallas_1.png,head置信度不足(0.653<=0.7),True,0.9601,True,0.6529,"[1024, 1024]",no_avatar,,,14,14
avg_6d5_1,avg,avg_6D5_1.png,face未检出; head未检出,False,,False,,"[1280, 720]",,,,4,4
avg_doc_1,avg,avg_doc_1.png,face未检出,False,,True,0.8056,"[1024, 1024]",,,,0,0
avg_npc_005,avg,avg_npc_005.png,face未检出,False,,True,0.8961,"[1024, 1024]",,,,0,0
avg_npc_006,avg,avg_npc_006.png,face未检出,False,,True,0.8956,"[1024, 1024]",,,,0,0
avg_npc_007,avg,avg_npc_007.png,face置信度不足(0.356<=0.8); head置信度不足(0.680<=0.7),True,0.3557,True,0.6796,"[1024, 1024]",,,,0,0
avg_npc_008,avg,avg_npc_008.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,0,0
avg_npc_009,avg,avg_npc_009.png,face未检出; head置信度不足(0.444<=0.7),False,,True,0.4442,"[1024, 1024]",,,,0,0
avg_npc_010,avg,avg_npc_010.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,1,1
avg_npc_011,avg,avg_npc_011.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,1,1
avg_npc_012,avg,avg_npc_012.png,face未检出,False,,True,0.8729,"[1024, 1024]",,,,0,0
avg_npc_013,avg,avg_npc_013.png,face未检出,False,,True,0.883,"[1024, 1024]",,,,0,0
avg_npc_014,avg,avg_npc_014.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,0,0
avg_npc_015,avg,avg_npc_015.png,face未检出,False,,True,0.8293,"[1024, 1024]",,,,0,0
avg_npc_016,avg,avg_npc_016.png,face未检出,False,,True,0.7728,"[1024, 1024]",,,,0,0
avg_npc_017_3,avg,avg_npc_017_1.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,5,5
avg_npc_020,avg,avg_npc_020.png,face置信度不足(0.544<=0.8),True,0.5445,True,0.8909,"[1024, 1024]",,,,0,0
avg_npc_025_1,avg,avg_npc_025_1.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,2,2
avg_npc_026,avg,avg_npc_026.png,face未检出,False,,True,0.8255,"[1024, 1024]",,,,0,0
avg_npc_028,avg,avg_npc_028.png,face未检出,False,,True,0.9049,"[1024, 1024]",,,,4,4
avg_npc_031,avg,avg_npc_031.png,face置信度不足(0.311<=0.8),True,0.3108,True,0.9086,"[1024, 1024]",,,,0,0
avg_npc_034,avg,avg_npc_034.png,face未检出; head置信度不足(0.493<=0.7),False,,True,0.4929,"[1024, 1024]",,,,13,13
avg_npc_035,avg,avg_npc_035.png,face未检出,False,,True,0.8724,"[1024, 1024]",,,,0,0
avg_npc_037,avg,avg_npc_037.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,1,1
avg_npc_038,avg,avg_npc_038.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,0,0
avg_npc_039_1,avg,avg_npc_039_1.png,face置信度不足(0.313<=0.8); head未检出,True,0.3131,False,,"[1024, 1024]",,,,0,0
avg_npc_040,avg,avg_npc_040.png,face未检出; head置信度不足(0.643<=0.7),False,,True,0.6425,"[1024, 1024]",,,,0,0
avg_npc_041,avg,avg_npc_041.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,0,0
